Genes,No benefits,Responder,TIDE,IFNG,MSI Expr Sig,Merck18,CD274,CD8,CTL.flag,Dysfunction,Exclusion,MDSC,CAF,TAM M2
TCGA-IB-7893-01,False,False,2.62,0.33,0.59,0,1.45,-0.47,False,-1.22,2.62,0.1,0.32,-0.02
TCGA-H6-8124-01,True,False,2.6,-1.39,0.37,-1.17,0.9,-0.33,False,-1.25,2.6,0.22,0.17,0
TCGA-YH-A8SY-01,False,False,2.38,-0.16,0.53,-0.28,0.33,-1.09,False,0.01,2.38,0.14,0.26,-0.04
TCGA-3A-A9IC-01,False,False,2.22,-0.33,0.52,-0.21,-0.14,-0.72,False,0.17,2.22,0.12,0.24,-0.01
TCGA-IB-7890-01,False,False,2.19,-0.72,0.32,-0.37,0.09,-1.29,False,-0.57,2.19,0.05,0.29,0.01
TCGA-FB-A545-01,True,False,2.08,-1.79,0.39,-1.37,0.4,-1.67,False,-0.76,2.08,0.25,0.06,-0.01
TCGA-HZ-7925-01,False,False,2.02,-0.18,0.29,-0.16,0.03,-0.74,False,-0.35,2.02,0.03,0.34,-0.05
TCGA-US-A77J-01,False,False,1.88,0.73,0.55,1.23,-0.14,1.35,True,1.88,-0.87,-0.12,-0.03,0.01
TCGA-IB-AAUR-01,False,False,1.88,0.43,0.23,1.23,0.37,1.94,True,1.88,-1.39,-0.16,-0.04,-0.01
TCGA-2J-AABO-01,False,False,1.87,-0.43,0.24,-0.41,-0.93,0.07,False,0.03,1.87,0.08,0.14,0.07
TCGA-IB-A5SS-01,False,False,1.87,0.18,0.53,-0.02,1.07,-0.04,False,0.11,1.87,0.11,0.22,-0.04
TCGA-XD-AAUG-01,False,False,1.86,-0.66,0.37,-0.23,-0.33,0.06,False,0.5,1.86,-0.06,0.33,0.02
TCGA-Q3-A5QY-01,False,False,1.83,0.81,0.47,1.29,0.44,1.94,True,1.83,-2.07,-0.18,-0.13,0
TCGA-FB-A4P5-01,False,False,1.82,0.94,0.55,1.32,0.22,2.34,True,1.82,-1.09,-0.12,-0.02,-0.02
TCGA-HV-AA8V-01,False,False,1.7,-0.56,0.39,-0.23,0.03,-0.42,False,0.7,1.7,-0.03,0.31,-0.01
TCGA-3A-A9IB-01,False,False,1.67,-0.05,0.36,-0.1,0.85,-0.78,False,-0.28,1.67,0.1,0.18,-0.03
TCGA-2J-AAB8-01,False,False,1.67,-0.22,0.35,-0.25,-0.28,-0.42,False,-0.62,1.67,0.1,0.14,0.01
TCGA-IB-AAUP-01,False,False,1.58,0.55,0.13,0.86,-0.01,1.1,True,1.58,-0.91,-0.12,-0.04,0.02
TCGA-2J-AAB6-01,False,False,1.54,0.37,0.53,-0.22,2.13,-0.96,False,-0.26,1.54,0.18,0.12,-0.07
TCGA-HZ-8005-01,False,False,1.51,2.65,0.69,1.39,1.06,-0.36,False,-0.45,1.51,0.12,0.19,-0.08
TCGA-HZ-7922-01,False,False,1.45,0.72,0.27,0.16,-0.22,0.59,False,-0.66,1.45,0.03,0.2,0
TCGA-IB-A5SQ-01,False,False,1.44,0.1,0.46,0.12,-0.1,0.07,False,0.61,1.44,0.03,0.18,0.01
TCGA-3E-AAAZ-01,True,False,1.44,-1.3,0.79,-0.8,-1.11,-0.63,False,-0.52,1.44,0.09,0.06,0.07
TCGA-XN-A8T3-01,False,False,1.34,0.91,0.18,0.41,0.63,0.64,False,-0.17,1.34,0.08,0.11,0.01
TCGA-IB-AAUQ-01,False,False,1.34,-0.52,0.37,-0.32,0.43,-0.69,False,0.17,1.34,0.1,0.13,-0.02
TCGA-L1-A7W4-01,False,False,1.34,-0.88,0.79,-0.89,0.16,-1,False,-1.41,1.34,0.18,0.03,-0.01
TCGA-IB-AAUS-01,False,False,1.3,0.54,0.38,0.92,0.14,1.43,True,1.3,-0.76,-0.22,0.2,-0.08
TCGA-FB-A7DR-01,False,False,1.27,0.8,0.5,0.36,0.79,-0.04,False,0.23,1.27,0.05,0.22,-0.07
TCGA-XN-A8T5-01,False,False,1.26,-0.17,0.34,0.63,0.01,1.54,True,1.26,0.32,-0.04,0.09,-0.01
TCGA-HV-A7OL-01,False,False,1.25,1.35,0.92,1.14,1.05,0.61,True,1.25,-1.36,0,-0.19,-0.04
TCGA-2J-AABA-01,True,False,1.19,-1.2,0.49,-0.43,-0.8,0.07,False,-0.11,1.19,0.03,0.1,0.04
TCGA-Z5-AAPL-01,False,False,1.18,1.77,0.62,1.78,0.83,2.64,True,1.18,-2.62,-0.11,-0.26,-0.04
TCGA-HV-A5A6-01,False,False,1.12,-0.4,0.24,-0.68,-0.3,-0.2,False,-1.02,1.12,0.17,0.02,-0.03
TCGA-3A-A9IZ-01,False,False,1.11,-0.24,0.81,-0.67,-0.1,-1.24,False,-1.28,1.11,0.2,0.03,-0.07
TCGA-XD-AAUH-01,False,False,1.07,-0.41,0.37,0.4,0.12,1.08,True,1.07,-0.47,-0.1,0.03,0.01
TCGA-IB-A5ST-01,False,False,1.07,-0.04,0.34,0.56,-0.62,0.75,True,1.07,-0.62,-0.1,0.01,0
TCGA-FB-AAPS-01,False,False,1.06,0.5,0.42,0.59,-0.44,0.87,True,1.06,1.39,-0.05,0.28,-0.02
TCGA-2L-AAQL-01,False,False,1,0.49,0.56,0.15,-0.85,0.21,True,1,-0.42,-0.04,-0.07,0.03
TCGA-HZ-7923-01,False,False,1,0.3,0.4,0.76,0.73,1.45,True,1,-1.02,-0.21,0.08,0
TCGA-OE-A75W-01,False,False,0.97,1.55,0.8,0.93,0.09,1.05,True,0.97,0.02,0.05,-0.06,0
TCGA-3E-AAAY-01,False,False,0.97,0.49,0.45,0.43,0,0.56,True,0.97,-1.31,-0.11,-0.06,-0.03
TCGA-HZ-A77Q-01,False,False,0.96,0,0.41,0.6,0.56,1.05,True,0.96,0.5,-0.07,0.24,-0.09
TCGA-RL-AAAS-01,False,False,0.96,1.08,0.57,1.07,-0.65,1.85,True,0.96,0.37,-0.08,0.08,0.05
TCGA-HZ-A4BK-01,False,False,0.95,0.36,0.23,0.47,0.58,0.93,True,0.95,-1.53,-0.08,-0.12,-0.02
TCGA-US-A77E-01,False,False,0.93,-0.81,0.59,-0.89,-0.39,-0.98,False,-0.3,0.93,0.06,0.13,-0.06
TCGA-HZ-8001-01,False,False,0.93,0.37,0.62,0.81,-0.19,1.34,True,0.93,0.66,-0.05,0.12,0.03
TCGA-IB-AAUT-01,False,False,0.92,0.94,0.32,0.87,0.3,1.43,True,0.92,-1.39,-0.19,0.02,-0.03
TCGA-RB-AA9M-01,False,False,0.91,-0.56,0.2,-0.42,-0.29,-0.15,False,-0.47,0.91,0.08,0.02,0.04
TCGA-2J-AAB1-01,False,False,0.87,1.59,0.8,0.64,0.18,0.38,True,0.87,-1.25,-0.04,-0.12,-0.03
TCGA-FB-AAQ2-01,False,False,0.83,-1.04,0.83,-0.67,-0.1,-0.56,False,-0.89,0.83,0.19,-0.13,0.06
TCGA-YB-A89D-01,False,False,0.82,0.03,0.44,0.04,0.53,-0.55,False,0.92,0.82,-0.05,0.22,-0.03
TCGA-US-A774-01,False,False,0.8,0.85,0.46,0.55,0.09,0.43,True,0.8,0.05,-0.08,0.1,-0.01
TCGA-2J-AABR-01,False,False,0.77,0.73,0.38,0.65,-0.23,1.28,True,0.77,-0.88,-0.08,0.01,-0.05
TCGA-HZ-A77P-01,False,False,0.76,-0.3,0.67,-0.06,-0.88,0.18,False,0.27,0.76,-0.05,0.12,0.05
TCGA-3A-A9I5-01,False,False,0.74,-1.02,0.61,-0.69,-0.83,-0.84,False,-0.55,0.74,0.09,-0.06,0.07
TCGA-3A-A9J0-01,False,False,0.74,-0.75,0.55,-0.38,-0.94,-0.39,False,-0.16,0.74,0.05,0.05,0.02
TCGA-HZ-8637-01,False,False,0.74,3.68,0.48,2.12,2.07,1.52,True,0.74,-2.8,-0.21,-0.14,-0.07
TCGA-IB-A7LX-01,False,False,0.68,0.08,0.28,-0.16,1.12,-0.24,False,-0.85,0.68,0.17,-0.04,-0.03
TCGA-FB-A5VM-01,False,False,0.67,0.59,0.67,0.79,0.44,1.24,True,0.67,0.56,0.1,-0.01,-0.02
TCGA-HZ-8636-01,False,False,0.66,0.45,0.29,0.1,0.54,-0.86,False,-0.34,0.66,-0.02,0.14,-0.01
TCGA-HZ-A4BH-01,False,False,0.65,1.29,0.16,0.65,0.71,0.38,True,0.65,-0.1,0,0.04,-0.05
TCGA-XD-AAUL-01,False,False,0.65,-0.44,0.31,-0.31,-0.26,-0.84,False,0.46,0.65,-0.02,0.14,-0.02
TCGA-HZ-8003-01,False,False,0.62,1.75,0.54,0.95,0.54,0.97,True,0.62,-1.72,-0.17,-0.06,-0.02
TCGA-HZ-A49H-01,False,False,0.62,0.75,0.85,0.77,0.48,1.05,True,0.62,-0.75,-0.1,-0.01,0.01
TCGA-2L-AAQE-01,False,False,0.6,-0.69,0.61,-0.15,-0.63,0.51,False,0.31,0.6,0.1,-0.04,0.02
TCGA-2J-AAB9-01,False,False,0.6,-0.29,0.36,-0.06,-0.35,0.42,False,0.33,0.6,0.02,0.05,0.03
