Query	Statistic	P-value	FDR (BH)	Event_SD	Event_TD
A1BG	0.010269925	0.891678367	0.944867257	178	178
A1CF	0.136143334	0.069981861	0.20708664	178	176
A2BP1	0.14078588	0.060870983	0.188337163	178	136
A2LD1	0.235856238	0.001527643	0.01300371	178	178
A2ML1	0.036473376	0.628848612	0.791072201	178	152
CHRD	0.245340871	0.000995125	0.009415118	178	178
A4GALT	-0.054672244	0.468561172	0.676005298	178	178
SIGLEC8	0.245357894	0.000994297	0.009411793	178	177
AAA1	-0.072375284	0.337023247	0.555635959	178	123
AAAS	-0.030486345	0.685959484	0.828497608	178	178
AACSL	0.14927922	0.04672778	0.157497904	178	105
AACS	-0.087033262	0.248016218	0.462361902	178	178
AADACL2	0.204190253	0.006258723	0.03743477	178	32
AADACL3	0.001252111	0.986765646	0.993599342	178	15
AADACL4	-0.072823836	0.334029473	0.553021431	178	42
VNN3	0.244728535	0.000993745	0.009411071	178	173
AADAT	0.138981774	0.064332963	0.196072752	178	178
AAGAB	-0.115253447	0.125535005	0.302243906	178	178
AAK1	0.18537464	0.013339144	0.064855725	178	178
AAMP	-0.109638302	0.145158507	0.332564514	178	178
AANAT	-0.024349524	0.746981327	0.866018337	178	121
AARS2	-0.012109432	0.872544236	0.935818719	178	178
AARSD1	-0.068555178	0.362862663	0.581085706	178	178
AARS	0.010023108	0.89436251	0.946335845	178	178
PDE11A	0.244749468	0.000992719	0.009405859	178	178
AASDH	0.004898245	0.948261015	0.974814136	178	178
CHEK2	-0.245419601	0.000991303	0.009397036	178	178
AATF	-0.029158585	0.698957782	0.836603295	178	178
AATK	0.071874578	0.34004975	0.558715726	178	178
MAOB	0.244778193	0.000991313	0.009397036	178	178
ABCA10	0.210859544	0.004796649	0.030895418	178	178
ABCA11P	-0.010453987	0.889849433	0.943990189	178	178
ABCA12	0.028214133	0.708518947	0.842408289	178	173
ABCA13	0.007391023	0.921999662	0.96001376	178	174
ABCA17P	0.0968063	0.198624899	0.404261019	178	177
ABCA1	-0.020802635	0.782642016	0.887637696	178	178
ABCA2	-0.118331341	0.115684889	0.287286154	178	178
ABCA3	0.187534378	0.012286421	0.061017442	178	178
ABCA4	-0.133556188	0.075522361	0.217440183	178	175
RAB20	0.244780321	0.000991209	0.009397036	178	178
ABCA6	0.163721941	0.02908584	0.113351084	178	178
ABCA7	-0.145612062	0.052523091	0.170820987	178	178
C20orf199	-0.245468541	0.000988935	0.009387994	178	178
GRK6	-0.244952675	0.000982809	0.009334327	178	178
ABCB10	0.125172354	0.095953458	0.25519619	178	178
ABCB11	-0.027124572	0.719293273	0.849812054	178	164
VSIG4	0.245608977	0.000982166	0.009332703	178	178
ABCB4	-0.188740852	0.011730769	0.058978955	178	178
ABCB5	0.182842655	0.014571046	0.069062289	178	167
ABCB6	-0.090512204	0.229540397	0.441186995	178	178
ABCB7	0.209409657	0.005025998	0.031946023	178	178
ABCB8	-0.20282841	0.006621859	0.03897043	178	178
ABCB9	-0.000422372	0.995542177	0.997863494	178	178
ABCC10	-0.017465168	0.817011523	0.906852981	178	178
ABCC11	-0.033952371	0.652768477	0.80762791	178	168
ABCC12	0.237257578	0.001428815	0.01240477	178	37
ABCC13	-0.133591268	0.075444929	0.217320551	178	91
ABCC1	-0.228701682	0.002136544	0.016818481	178	178
ABCC2	-0.012404128	0.869349283	0.934659154	178	178
ABCC3	0.167990348	0.025101766	0.102018519	178	178
ABCC4	0.100989543	0.179650573	0.380955542	178	178
ABCC5	-0.109358318	0.146194731	0.334218363	178	178
APBB1IP	0.245753669	0.000975237	0.00927132	178	178
CACNB2	0.24586006	0.000970171	0.009227595	178	178
SFI1	-0.245921766	0.000967244	0.009204181	178	178
CLIC2	0.245983473	0.000964325	0.009186098	178	178
ABCC9	0.183825587	0.014142203	0.067547808	178	178
ABCD1	0.188249325	0.011954415	0.059784168	178	178
ABCD2	0.207190338	0.005520754	0.034232481	178	176
ABCD3	0.180311588	0.016018985	0.073974642	178	178
ABCD4	0.038733797	0.607723855	0.776389751	178	178
ABCE1	-0.019502558	0.79610748	0.895972072	178	178
ABCF1	0.012162634	0.871989045	0.935599183	178	178
ABCF2	-0.180615186	0.015838933	0.073400297	178	178
ABCF3	-0.088979156	0.237558764	0.450771231	178	178
ABCG1	-0.221674308	0.002941796	0.021394288	178	178
ABCG2	0.019436574	0.79659381	0.896124088	178	178
ABCG4	0.046683313	0.535704979	0.72488013	178	177
ABCG5	0.053090038	0.481547497	0.68534045	178	167
ABCG8	0.085542881	0.256238708	0.471292364	178	134
ABHD10	-0.031431097	0.676766317	0.823226941	178	178
ABHD11	-0.132702576	0.077444883	0.221108161	178	178
ABHD12B	-0.028038177	0.710255079	0.84361989	178	156
ABHD12	0.182774444	0.014710987	0.069575475	178	178
ABHD13	0.107964595	0.151436584	0.342262068	178	178
ABHD14A	0.126272371	0.093046066	0.249646257	178	178
ABHD14B	0.040261552	0.593294041	0.766533575	178	178
ABHD15	0.045477952	0.546649181	0.733290883	178	178
ABHD1	0.015556502	0.836712909	0.916781796	178	176
ABHD2	0.078647472	0.296710792	0.515386437	178	178
ABHD3	-0.015734192	0.834874288	0.916123154	178	178
ABHD4	0.214874855	0.003972808	0.026820865	178	178
ABHD5	0.123506137	0.100466221	0.263372538	178	178
ABHD6	-0.124538196	0.097662043	0.258338749	178	178
ABHD8	0.082189274	0.275421361	0.491976694	178	178
ABI1	-0.027479735	0.715519074	0.847124546	178	178
ABI2	0.068831831	0.361271671	0.579758644	178	178
OSBPL10	-0.245979218	0.000964526	0.009186098	178	178
SHISA6	0.24532516	0.000964879	0.009186098	178	167
ABL1	0.002433164	0.974285606	0.987745347	178	178
ABL2	0.033707865	0.654809489	0.808756583	178	178
ABLIM1	-0.046370524	0.538443902	0.726969119	178	178
ABLIM2	-0.118133391	0.116240767	0.288146538	178	178
ABLIM3	-0.064980475	0.388824555	0.605593632	178	178
ABO	-0.069204163	0.358329171	0.577152705	178	177
ABP1	-0.140790421	0.060913669	0.18838081	178	178
ABRA	0.173232019	0.020753912	0.088886258	178	130
ABR	-0.029159665	0.69921544	0.836689024	178	178
ABT1	-0.055841452	0.458722982	0.668389418	178	178
ABTB1	-0.163026143	0.029784036	0.115096644	178	178
ABTB2	-0.001692681	0.982102562	0.991478842	178	178
ACAA1	0.165373129	0.027484753	0.109111323	178	178
SEPX1	0.246079225	0.000959812	0.009151069	178	178
ACACA	-0.021269703	0.778092378	0.884608675	178	178
TXK	0.245450585	0.00095891	0.009146882	178	178
ACAD10	0.132009188	0.079001493	0.223967818	178	178
ACAD11	0.058801312	0.435593849	0.649041728	178	178
ACAD8	0.21035525	0.004900253	0.031450051	178	178
ACAD9	0.018678026	0.804550781	0.900468098	178	178
C17orf39	0.246177105	0.000955218	0.009116062	178	178
ACADM	0.18633884	0.012759701	0.062685795	178	178
C1QTNF9	0.245530983	0.000955101	0.009116062	178	165
ACADS	0.176633554	0.018451008	0.081841683	178	178
ACADVL	0.159553541	0.033486407	0.124747592	178	178
ACAN	-0.071051111	0.345622097	0.564447583	178	178
ACAP1	0.160298363	0.032563766	0.122277991	178	178
ACAP2	-0.052692334	0.484842023	0.687900277	178	178
ACAP3	-0.101427874	0.177761772	0.378126214	178	178
SCMH1	0.246196255	0.000954322	0.009116062	178	178
ACAT2	0.157859796	0.035429741	0.129887216	178	178
